,,,,,,,,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Units,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,Avg EQ Price,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV,%ACV
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602325,,,,,,,,,,,"1,049","4,136",491,44,72,62,99,,,,,,345,902,129,,,,,,,,,,,,,,,,,,55,242,27,3,4,4,6,,,,,,23,63,9,,,,,,,,,,,,,,,,,,18.93,17.07,17.89,14.66,17.99,15.49,16.49,,,,,,14.99,14.4,14.32,,,,,,,,,,,,,,,,,,0,0.1,0,0,0,0,0,,,,,,0,0,0,,,,,,,
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602326,,,,,,,,,,,157,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602327,,,,,,,,,,,"1,559","11,931","2,198","1,247",798,252,182,126,98,,42,56,94,112,14,,30,,14,,42,14,,,,,,,,,,,103,857,155,88,57,18,13,9,7,,3,4,18,8,1,,3,,1,,3,1,,,,,,,,,,,15.14,13.92,14.18,14.17,13.99,13.99,13.99,13.99,13.99,,13.99,13.99,5.24,13.99,13.99,,10,,13.99,,13.99,13.99,,,,,,,,,,,0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602332,,,,,,,,,,,,,,,,,,,,,"1,304","22,657","298,165","955,576","125,056","24,954","13,954","8,779","5,589","3,879","1,390","1,553",,,,,,,,,,,,,,,,,,,,,69,"1,513","20,716","65,088","8,532","1,613",878,572,358,277,84,98,,,,,,,,,,,,,,,,,,,,,18.78,14.98,14.39,14.68,14.66,15.47,15.9,15.34,15.6,14.01,16.55,15.93,,,,,,,,,,,,,,,,,,,,,0,0.3,5.4,10.3,2.5,0.6,0.3,0.2,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602339,,,,,,,,,,,,,,,38,503,"3,031","3,370","3,175","1,717","1,744",476,160,897,32,16,48,,16,,,,,,,,,,,,,,,,,,2,31,166,191,243,94,102,28,10,51,2,1,3,,1,,,,,,,,,,,,,,,,,,18.99,16.22,18.26,17.67,13.06,18.31,17.08,16.96,15.99,17.58,15.99,15.99,15.99,,15.99,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602341,,,,,,,,,,,,,,,,,,,,,,459,"5,712","5,965","1,271",,13,,,,,,,,,,,,,,,,,,,,,,,,,,,38,612,668,119,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11.99,9.34,8.93,10.65,,12.99,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0.1,0,,0,,,,,
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602357,,,,,,,,,,,,,,,,,,,,"1,104","6,048","6,812","7,333","9,670","1,421",795,"1,008",463,257,145,89,20,,,,,,,,,,,,,,,,,,,,65,352,390,459,581,86,51,62,30,16,8,5,1,,,,,,,,,,,,,,,,,,,,16.99,17.18,17.48,15.97,16.64,16.54,15.73,16.26,15.42,16.05,18.12,17.79,19.99,,,,,,,,,,,,,,,,,,,,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068602363,,,,,,,,,,,,,,,,,,,,,,"1,393","5,472","15,065","1,678",243,154,20,34,60,40,40,,,,,,,,,,,,,,,,,,,,,,100,398,"1,078",116,16,11,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,13.93,13.75,13.97,14.47,15.18,14.03,19.99,17,19.99,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM DRNK CNTN SET KY STRG BRBN 1 CT 008068603424,,,,,,,,,96,"9,638","68,576","115,740","9,262","3,063","1,769",367,335,188,,79,30,30,285,"1,444","2,628",67,,,,,,,,,,,,,,,4,502,"3,402","5,635",451,148,89,16,17,8,,3,1,1,14,73,131,3,,,,,,,,,,,,,,,23.99,19.2,20.16,20.54,20.54,20.71,19.88,22.97,19.69,23.49,,26.22,29.99,29.99,20.38,19.78,19.99,22.32,,,,,,,,,,,,,,,0,0.2,1.5,1.5,0.2,0.1,0,0,0,0,,0,0,0,0,0,0,0,,,,,,
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY BRBN 80 PRF 200 ML 008068600170,"101,278","101,945","128,450","102,789","109,987","125,950","102,406","104,513","138,602","99,643","130,540","160,817","110,785","104,947","138,288","115,352","129,560","163,246","133,690","130,678","212,476","170,265","208,796","248,730","168,378","124,503","156,948","138,899","160,530","177,411","142,196","149,600","19,221","19,668","24,655","19,692","21,516","25,600","21,322","21,977","28,140","19,035","25,609","32,611","22,851","22,079","29,105","24,800","29,981","38,008","32,758","30,049","60,518","48,633","65,643","73,474","49,090","27,537","36,231","36,117","42,858","46,027","37,176","39,098",237.34,233.48,234.68,235.13,230.27,221.62,216.34,214.21,221.87,235.8,229.61,222.13,218.39,214.11,214.02,209.52,194.66,193.47,183.84,195.89,158.15,157.7,143.28,152.49,154.51,203.66,195.13,173.24,168.72,173.63,172.3,172.35,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.6,2.6,2.5,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.6,2.6,2.4,2.3,2.3,2.3,2.3,2.3
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY BRBN 80 PRF 375 ML 008068600160,"463,476","462,326","610,379","488,509","475,336","570,890","454,128","459,825","585,184","482,110","529,142","688,075","508,592","522,043","655,753","521,107","527,753","638,253","508,098","499,506","631,248","542,918","551,167","749,676","542,103","552,739","667,794","474,369","513,343","601,995","478,556","493,077","49,723","49,620","66,164","53,216","51,006","61,561","48,864","50,276","64,338","52,473","56,961","75,390","54,978","56,659","71,557","56,986","56,937","69,209","55,132","53,978","68,029","59,344","60,128","81,682","59,924","61,148","72,417","51,060","55,591","65,330","52,061","53,345",223.53,223.44,221.23,220.14,223.48,222.39,222.87,219.33,218.12,220.33,222.77,218.87,221.84,220.95,219.76,219.29,222.28,221.16,221.01,221.92,222.52,219.39,219.82,220.1,216.94,216.77,221.14,222.79,221.45,220.97,220.44,221.66,7.5,7.5,7.7,7.9,7.8,7.8,7.8,7.9,8,8.2,8.6,8.7,8.3,8.3,8.3,8.3,8.3,8.4,8.5,8.1,8,8.8,8.8,9.2,8.8,8.9,8.7,8.1,8.2,8.1,8.1,8.3
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 100 ML 008068600180,"45,539","48,675","59,509","48,664","48,983","57,335","45,309","44,704","58,205","45,722","48,156","60,814","45,979","48,848","62,257","50,180","51,898","64,328","54,847","54,517","65,638","56,911","59,716","74,357","56,811","60,288","69,987","46,298","51,139","58,713","47,012","48,447","20,228","21,558","26,491","21,680","21,545","25,585","20,359","20,103","26,049","20,459","21,462","27,033","20,520","21,823","27,990","22,507","23,401","28,850","24,643","24,509","29,288","25,415","26,648","33,054","25,322","27,050","31,358","20,867","22,933","26,151","21,007","21,585",202.82,203.41,202.38,202.22,204.82,201.89,200.49,200.33,201.3,201.34,202.14,202.67,201.86,201.66,200.38,200.86,199.8,200.88,200.51,200.4,201.9,201.73,201.88,202.66,202.12,200.79,201.07,199.89,200.89,202.27,201.61,202.21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.9
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 100 ML 008068600660,"1,024","1,505","2,148","1,833","1,817","3,268","2,135","2,107","2,464","2,282","2,087","2,860","2,106","1,465","3,086","2,765","4,641","2,333","1,405","2,263","2,985","4,153","4,147","6,642","3,766","5,495","6,961","4,279","6,605","10,889","7,492","8,829",393,558,782,676,710,"1,536",901,821,947,893,804,"1,453","1,050",625,"1,154","1,032","1,770",901,556,877,"1,181","1,590","1,561","2,392","1,341","1,931","2,468","1,594","2,431","3,867","2,713","3,103",234.84,242.88,247.37,244.5,230.53,191.67,213.46,231.12,234.48,230.16,233.97,177.37,180.75,211.03,240.97,241.41,236.27,233.37,227.9,232.56,227.71,235.32,239.38,250.14,253.07,256.37,254.03,241.91,244.78,253.72,248.77,256.39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 100 ML 008068600688,"1,260","1,329","1,096",916,644,723,626,373,856,794,812,"1,874","1,168",810,"1,357","1,216","1,138",946,848,801,994,963,907,"1,416",534,"1,399","1,746",325,519,646,485,369,674,722,571,378,279,342,276,171,353,395,369,881,654,395,672,569,578,515,402,378,392,477,435,661,231,665,849,158,234,254,191,209,168.3,165.89,172.96,218.3,208.07,190.53,204.32,196.85,218.12,181.08,198.36,191.64,160.96,184.5,181.97,192.51,177.37,165.57,190.16,191.07,228.24,181.92,187.81,192.9,207.78,189.52,185.21,184.91,200.05,229.36,229.08,158.95,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 100 ML 008068602120,,,,,,,,,,,,,,,,,82,"2,237","2,836","2,005","3,051","4,312","4,331","5,831","2,996","2,679","3,417","1,672","3,267","3,109","1,324","1,625",,,,,,,,,,,,,,,,,39,925,"1,239",833,"1,303","1,672","1,678","2,395","1,256","1,119","1,381",782,"1,201","1,200",594,757,,,,,,,,,,,,,,,,,190.37,217.89,206.3,216.87,210.87,232.29,232.6,219.35,214.83,215.63,222.87,192.71,245.09,233.39,200.73,193.44,,,,,,,,,,,,,,,,,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1000 ML 008068600120,"330,532","342,082","410,258","326,580","370,534","430,555","343,531","343,575","423,585","380,955","394,601","559,898","359,091","367,921","403,813","312,656","340,688","394,945","323,327","312,954","404,525","331,698","338,595","522,694","293,220","290,476","517,931","437,242","413,560","456,286","359,748","330,981","14,091","14,496","17,288","13,826","15,714","18,211","14,499","14,553","17,936","16,119","16,680","23,640","15,301","15,552","17,087","13,395","14,532","16,698","13,654","13,253","17,173","14,014","14,284","22,125","12,442","12,403","21,674","18,267","17,407","19,640","15,549","14,048",211.13,212.41,213.6,212.61,212.25,212.8,213.26,212.5,212.57,212.73,212.94,213.18,211.24,212.94,212.71,210.09,211.02,212.89,213.15,212.55,212.02,213.04,213.37,212.64,212.12,210.81,215.09,215.45,213.85,209.11,208.24,212.07,3.2,3.3,3.2,3.2,3.4,3.4,3.3,3.4,3.3,3.6,3.5,3.6,3.4,3.4,3.2,3.3,3.3,3.3,3.4,3.4,3.5,3.4,3.4,3.7,3.4,3.3,3.5,3.6,3.5,3.5,3.4,3.4
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1000 ML 008068600403,,,,,,,,,,75,238,656,391,637,645,660,578,274,278,241,273,195,78,66,78,48,,66,88,88,23,22,,,,,,,,,,4,12,34,19,31,33,33,29,14,14,12,15,10,4,3,4,4,,3,4,4,1,1,,,,,,,,,,168.83,178.46,173.57,185.12,184.84,175.85,179.93,179.29,176.12,179.07,181.16,163.74,175.56,176.26,199.01,176.26,108.02,,198.11,198.11,198.11,198.68,198.11,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1000 ML 008068600656,"14,290","12,459","16,994","11,552","11,230","18,025","14,968","13,754","18,232","17,022","17,826","21,717","14,605","15,178","16,211","20,940","13,113","17,602","13,017","14,525","17,930","16,719","18,662","21,663","14,291","12,121","19,790","18,401","15,198","18,605","12,186","12,378",643,552,743,520,512,808,663,618,838,769,805,988,671,694,747,"1,420",604,798,584,652,853,748,828,966,642,540,890,813,678,835,547,556,200.03,202.99,205.77,200.14,197.55,200.9,203.26,200.34,195.77,199.21,199.43,197.78,195.97,196.82,195.34,132.78,195.33,198.44,200.54,200.57,189.23,201.27,202.9,201.85,200.47,201.9,200.18,203.73,201.65,200.67,200.63,200.53,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1000 ML 008068600686,"6,281","6,426","7,296","5,124","5,614","9,349","8,127","7,970","11,274","8,974","10,689","17,150","9,167","9,807","10,995","8,351","8,585","10,036","7,628","7,556","10,846","8,527","8,888","14,073","8,568","7,100","13,359","11,740","11,527","11,916","8,495","9,643",289,297,336,234,260,434,426,385,516,407,494,791,419,451,503,385,396,463,347,358,539,402,413,656,403,342,629,541,528,547,390,451,195.58,194.8,195.4,197.4,194.56,193.72,171.68,186.39,196.75,198.33,194.74,195.19,196.79,195.73,196.8,195.11,194.94,195.31,197.82,189.86,181.21,190.89,193.67,193.24,191.44,186.6,191.05,195.38,196.69,196,196.21,192.47,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1000 ML 008068602115,,,,,,,,,,,,,,,,,"1,027","5,788","7,784","6,861","10,065","6,675","6,991","12,720","8,597","7,571","12,073","12,458","12,083","14,351","10,700","9,599",,,,,,,,,,,,,,,,,47,269,358,306,505,307,312,574,384,342,546,554,537,637,472,417,,,,,,,,,,,,,,,,,195.95,193.53,195.9,201.69,179.37,195.81,201.6,199.53,201.5,199.47,199.07,202.41,202.45,202.92,204.04,207.16,,,,,,,,,,,,,,,,,0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1750 ML 008068600110,"4,551,510","4,416,269","5,741,618","4,292,673","4,578,489","5,592,494","4,384,071","4,394,653","5,817,726","4,558,307","5,200,863","7,156,722","4,984,684","4,980,794","6,075,813","4,612,595","4,854,020","6,174,973","4,896,074","4,681,739","5,908,685","4,773,937","5,177,801","7,359,659","4,852,392","4,820,523","8,535,754","6,949,998","6,853,015","7,256,705","5,558,193","5,339,540","180,551","168,739","226,418","162,866","178,789","221,478","170,534","170,264","232,385","177,399","207,921","292,723","201,533","197,774","244,404","180,452","193,335","249,807","191,461","182,881","231,652","186,990","207,512","301,005","195,471","189,293","341,637","266,685","270,372","285,462","217,668","208,865",129.68,134.63,130.45,135.58,131.73,129.89,132.24,132.77,128.78,132.18,128.67,125.77,127.23,129.55,127.88,131.49,129.15,127.16,131.54,131.69,131.21,131.33,128.35,125.77,127.7,131,128.52,134.06,130.38,130.77,131.35,131.51,23.7,23.5,23.4,23.4,23.6,23.7,24,23.6,23.9,24.2,24.8,25.1,24.5,24.5,24.2,24.2,24.6,24.6,24.6,24.4,24.3,24.6,24.8,25.6,24.5,24.5,25.6,26,26.2,24.6,24.3,24
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1750 ML 008068600130,524,493,"1,269",919,36,30,102,,76,336,,51,56,,,592,,30,29,,,453,,31,,,,,,29,29,,20,17,44,31,3,3,4,,3,11,,3,3,,,20,,1,1,,,15,,1,,,,,,1,1,,135.65,148.56,146.98,151.46,61.77,50.77,131.08,,129.79,154.28,,87.46,95.8,,,154.27,,152.47,149.43,,,154.29,,159.74,,,,,,149.43,149.43,,0,0,0,0,0,0,0,,0,0,,0,0,,,0,,0,0,,,0,,0,,,,,,0,0,
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1750 ML 008068600659,"125,981","123,215","174,436","117,020","144,009","179,260","136,017","126,593","187,782","132,305","150,978","219,321","153,750","133,761","178,481","111,106","119,883","181,822","133,017","117,130","158,851","132,348","144,521","247,037","157,578","139,077","260,258","200,192","217,200","216,155","174,345","164,863","5,008","4,513","6,951","4,233","5,492","6,883","4,950","4,622","7,418","4,829","5,531","8,602","5,998","5,026","7,100","4,115","4,580","7,387","4,938","4,297","5,899","4,987","5,613","10,082","6,343","5,254","10,432","7,525","8,454","8,209","6,684","6,114",129.4,140.45,129.1,142.21,134.88,133.98,141.35,140.88,130.22,140.92,140.42,131.15,131.85,136.9,129.32,138.9,134.66,126.61,138.57,140.23,138.53,136.52,132.44,126.05,127.8,136.18,128.34,136.84,132.16,135.45,134.17,138.71,1.7,1.8,1.8,1.7,1.9,1.9,2,1.8,1.9,1.9,2.2,2.2,2,1.9,1.9,1.8,1.9,2.2,2.2,2,2.1,2.2,2.3,2.6,2.3,2.1,2.6,2.9,3,2.7,2.7,2.6
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1750 ML 008068600691,"22,039","19,731","32,107","21,191","24,189","26,648","22,292","26,216","43,635","30,434","33,685","52,946","35,135","29,037","46,843","26,946","36,800","56,653","36,389","33,341","41,831","36,091","45,088","74,274","48,697","44,136","81,640","65,297","67,977","71,403","55,404","44,744","1,016",789,"1,356",808,"1,056","1,104",864,"1,073","1,957","1,219","1,329","2,300","1,519","1,130","2,070","1,055","1,499","2,473","1,378","1,268","1,611","1,455","1,822","3,232","2,061","1,708","3,315","2,513","2,891","2,969","2,227","1,780",111.6,128.68,121.79,134.9,117.85,124.12,132.7,125.72,114.72,128.44,130.35,118.43,118.97,132.14,116.39,131.38,126.29,117.84,135.82,135.28,133.61,127.61,127.28,118.21,121.54,132.93,126.69,133.67,120.95,123.71,127.97,129.34,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.9,1.1,1.2,1.2,1.1,0.9
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 1750 ML 008068602118,,,,,,,,,,,,,,,,,"1,153","19,460","21,334","19,588","29,708","27,038","35,052","60,157","34,023","32,142","63,671","66,280","99,122","115,491","91,997","79,761",,,,,,,,,,,,,,,,,45,890,883,833,"1,262","1,097","1,416","2,464","1,372","1,236","2,652","2,487","3,655","4,204","3,320","2,808",,,,,,,,,,,,,,,,,131.75,112.48,124.25,120.98,121.12,126.78,127.35,125.61,127.6,133.76,123.48,137.11,139.49,141.31,142.53,146.13,,,,,,,,,,,,,,,,,0,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.6,0.8,1.1,1.1,1.1,1
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 200 ML 008068600695,7,,,95,33,286,23,47,117,168,102,4,14,4,292,"1,222","1,050",236,11,,55,7,34,"9,003",72,19,44,"10,388","29,190","20,920","10,030","2,763",1,,,29,8,82,5,9,19,26,17,1,2,1,61,272,227,49,2,,9,1,6,"4,497",9,3,7,"4,155","11,676","8,362","4,360","1,273",317.73,,,147.91,185.06,156.64,207.3,235.75,283.93,290.43,273.26,181.36,317.73,181.36,216.53,202.65,207.89,217.65,249.55,,268.5,317.73,255.19,90.19,359.55,283.13,291.4,112.61,112.61,112.7,103.63,97.75,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 200 ML 008068602104,,,,,,,65,19,90,58,50,120,50,12,50,,116,265,"1,260","2,639","2,110",623,380,523,363,524,637,610,572,684,523,114,,,,,,,9,3,13,8,7,17,7,2,7,,17,53,200,392,318,112,79,112,76,95,116,116,121,143,100,24,,,,,,,309.66,286.12,302.39,311.88,315.43,310.51,315.65,261.36,314.33,,302.72,224.8,283.08,302.95,298.63,251.49,217.63,210.61,215.43,247.99,246.39,236.23,213,215.36,234.95,215,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 200 ML 008068602119,,,,,,,,,,,,,,,,,211,248,91,117,235,434,266,"18,106",244,531,"3,000","17,685","42,087","27,189","18,402","33,651",,,,,,,,,,,,,,,,,30,33,12,14,32,82,41,"8,840",31,69,769,"6,679","16,489","10,261","7,298","13,052",,,,,,,,,,,,,,,,,314.71,337.89,343.53,375.76,334.89,237.85,291.66,92.26,354.93,346.3,175.64,119.27,114.97,119.35,113.58,116.14,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 375 ML 008068600161,"35,271","31,452","36,791","30,862","28,257","43,378","45,381","42,140","56,292","61,484","66,784","77,556","48,428","51,988","65,149","51,941","54,550","61,521","53,179","51,043","66,626","55,023","56,602","94,035","53,948","52,720","59,200","35,945","40,720","52,366","41,139","43,404","3,690","3,269","3,834","3,335","3,411","5,196","5,469","4,494","6,154","6,907","8,255","9,346","5,717","5,746","6,894","5,519","6,502","7,364","6,397","5,442","7,079","5,786","5,889","9,654","5,585","5,526","6,288","3,871","4,471","5,775","4,436","4,759",229.2,230.73,230.15,221.94,198.65,200.21,198.99,224.87,219.36,213.47,194.01,199.01,203.13,216.98,226.62,225.71,201.21,200.34,199.36,224.94,225.69,228.05,230.51,233.59,231.63,228.79,225.76,222.71,218.43,217.44,222.38,218.7,1,1,0.9,0.9,0.8,1,1.1,1.2,1.2,1.3,1.2,1.2,1.1,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.2,1,1.1,1.1,1.2,1.2
Total US xAOC,ALCOHOL,WHISKEY,WHISKEY AMERICAN,SUNTORY LTD.,JIM BEAM,JIM BEAM,JIM BM KY STRG BRBN 375 ML 008068600687,"16,082","13,996","17,780","14,605","13,043","16,007","17,554","21,219","26,312","23,060","22,324","29,572","19,478","18,388","23,224","16,419","15,574","19,909","17,453","16,102","18,367","15,590","15,899","22,638","16,195","14,388","16,203","13,271","14,073","15,393","12,171","12,383","1,928","1,632","2,080","1,708","1,530","1,841","1,968","2,489","3,100","2,841","2,558","3,580","2,285","2,108","2,736","1,830","1,765","2,356","2,147","1,940","2,244","1,925","1,902","2,722","2,006","1,797","1,940","1,605","1,738","1,885","1,355","1,386",199.98,205.63,205,205.1,204.46,208.47,213.86,204.46,203.53,194.62,209.27,198.09,204.38,209.19,203.55,215.1,211.57,202.69,194.96,199.01,196.25,194.22,200.45,199.41,193.6,192.03,200.3,198.25,194.15,195.83,215.32,214.18,1.1,1,1,1,0.9,1,1.4,1.6,1.6,1.7,1.5,1.6,1.4,1.3,1.2,1.1,1.1,1.2,1.2,1.1,1,1.1,1,1.2,1,0.9,1,0.9,0.9,0.8,0.8,0.7
